DateTime,Open,High,Low,Close,HL
2006-03-22 04:29:00,15839,15840,15831,15838,Day High
2006-03-22 07:55:00,15631,15633,15612,15622,Day Low
2006-03-23 02:00:00,15652,15693,15651,15666,Day Low
2006-03-23 07:59:00,15770,15777,15764,15770,Day High
2006-03-24 02:01:00,15782,15795,15780,15784,Day High
2006-03-24 02:02:00,15790,15795,15773,15784,Day High
2006-03-24 04:01:00,15673,15677,15671,15672,Day Low
2006-03-24 04:04:00,15674,15679,15671,15679,Day Low
2006-03-27 02:31:00,15694,15701,15694,15694,Day Low
2006-03-27 07:30:00,15847,15852,15839,15841,Day High
2006-03-28 02:00:00,15784,15821,15774,15819,Day Low
2006-03-28 06:54:00,15904,15923,15901,15921,Day High
2006-03-29 02:37:00,15842,15843,15836,15840,Day High
2006-03-29 02:38:00,15843,15843,15822,15826,Day High
2006-03-29 07:42:00,15727,15754,15727,15754,Day Low
2006-03-29 07:44:00,15727,15763,15727,15760,Day Low
2006-03-30 02:00:00,15766,15831,15766,15831,Day Low
2006-03-30 06:45:00,15945,15955,15932,15951,Day High
2006-03-31 02:04:00,15957,15965,15951,15951,Day High
2006-03-31 07:37:00,15761,15765,15737,15739,Day Low
2006-04-03 02:00:00,15806,15900,15806,15887,Day Low
2006-04-03 07:58:00,16068,16080,16067,16080,Day High
2006-04-04 04:14:00,16044,16045,16035,16035,Day Low
2006-04-04 04:15:00,16035,16037,16035,16037,Day Low
2006-04-04 07:52:00,16122,16135,16104,16119,Day High
2006-04-06 02:10:00,16203,16203,16189,16189,Day Low
2006-04-06 07:59:00,16398,16427,16397,16420,Day High
2006-04-07 02:15:00,16334,16342,16322,16335,Day Low
2006-04-07 07:33:00,16528,16539,16521,16538,Day High
2006-04-10 02:39:00,16382,16382,16375,16375,Day Low
2006-04-10 07:59:00,16517,16532,16512,16520,Day High
2006-04-11 02:00:00,16515,16515,16474,16474,Day High
2006-04-11 03:06:00,16383,16387,16382,16382,Day Low
2006-04-12 02:00:00,16442,16442,16390,16390,Day High
2006-04-12 07:22:00,16271,16271,16261,16262,Day Low
2006-04-13 02:00:00,16309,16360,16309,16352,Day Low
2006-04-13 03:22:00,16317,16319,16309,16309,Day Low
2006-04-13 07:55:00,16438,16447,16436,16446,Day High
2006-04-18 02:00:00,16456,16557,16456,16535,Day Low
2006-04-18 07:59:00,16639,16653,16632,16653,Day High
2006-04-19 02:00:00,16746,16897,16746,16897,Day Low
2006-04-19 02:01:00,16900,16902,16881,16893,Day High
